title;research_area;country;issn;issn2
mine medical officers association of south africa journal;occupational health and safety;south africa;null;NA
mine ventilation society of south africa journal;mines and mining industry occupational health and safety;south africa;null;0368-3206
minia journal of agricultural research and development;agriculture;egypt arab republic of egypt;1110-0257;NA
minia university faculty of engineering technology bulletin;technology: comprehensive works;egypt arab republic of egypt;1110-242X;NA
mintek review;mines and mining industry;south africa;null;NA
minufiya journal of agricultural research;agriculture;egypt arab republic of egypt;1110-0265;NA
minufiya journal of electronic engineering research;engineering - electrical engineering;egypt arab republic of egypt;1687-1189;NA
minufiya university scientific journal of faculty of science biology;sciences: comprehensive works;egypt arab republic of egypt;2090-1569;NA
minufiya university scientific journal of faculty of science geology;earth sciences - geology;egypt arab republic of egypt;2090-1585;NA
minufiya university scientific journal of faculty of science math and physics;mathematics physics;egypt arab republic of egypt;2090-1577;NA
misriqiya;history - history of africa;egypt arab republic of egypt;2682-4116;2682-4124
missionalia southern african journal of missiology;religions and theology - abstracting bibliographies statistics;south africa;0256-9507;2312-878X
miyetti quarterly law review;law;nigeria;2536-7803;2536-7811
mizan law review;law;ethiopia;1998-9881;NA
mkwawa journal of education and development;education;tanzania united republic of;2453-6040;2453-6059
mlezi;religions and theology;tanzania united republic of;0047-7583;NA
molecular biology research and innovations;biology;nigeria;2476-7956;NA
momona ethiopian journal of science;sciences: comprehensive works;ethiopia;2073-073X;2220-184X
moor journal of agricultural research;agriculture;nigeria;1595-4153;NA
moroccan journal of pure and applied analysis;mathematics;morocco;2351-8227;2605-6364
moroccan journal of quantitative and qualitative research;mathematics;morocco;2665-8623;NA
mosenodi;education;botswana;1021-559X;NA
mousaion;library and information sciences;south africa;null;0027-2639
mouvements et enjeux sociaux;sociology;congo democratic republic of;2790-3095;2790-3109
mpanolotsaina;religions and theology;madagascar;null;NA
msa engineering journal;engineering;egypt arab republic of egypt;2812-4928;NA
msingi journal;education;kenya;2310-3493;NA
mulika;linguistics literature;tanzania united republic of;0856-0129;2546-2202
multilingual margins;linguistics;south africa;2221-4216;NA
multilinguales;literature;algeria;2335-1535;2335-1853
muqaranat;literature;egypt arab republic of egypt;2090-1682;NA
muse;literature;nigeria;0331-3468;NA
musicus;music;south africa;0256-8837;NA
mwangaza;literature;kenya;1814-2753;NA
mwenge;ethnic interests;tanzania united republic of;0856-0722;NA
myth symbol;folklore;south africa;1022-3827;1753-5972
nairobi journal of humanities and social sciences;humanities: comprehensive works social sciences: comprehensive works;kenya;2520-4009;2523-0948
nairobi law monthly;law;kenya;null;NA
namibia cpd journal for educators;education - adult education;namibia;2026-772X;2026-8610
namibia development journal;business and economics - economic situation and conditions;namibia;1995-4735;NA
namibia scientific society journal;sciences: comprehensive works social sciences: comprehensive works;namibia;1018-7677;NA
namibia scientific society newsletter;anthropology history sciences: comprehensive works;namibia;1018-7685;NA
namibiana;anthropology folklore history - history of africa;namibia;0259-2010;NA
nasarawa state university department of islamic studies annual international conference proceedings;religions and theology - islamic;nigeria;2545-5648;NA
nashrat buhuth aliqtisad almanzili;home economics;egypt arab republic of egypt;1110-2578;NA
natalia;history - history of africa;south africa;null;0085-3674
national cultural history museum research journal;museums and art galleries history;south africa;1993-3770;NA
national drug information journal;pharmacy and pharmacology;ghana;0855-6059;NA
national english literary museum interview series;literature;south africa;null;NA
national food hygiene safety sanitation conference conference proceedings;food and food industries public health and safety;ghana;2590-9711;NA
national research centre bulletin print;sciences: comprehensive works technology: comprehensive works;egypt arab republic of egypt;1110-0591;NA
national review of criminal sciences;criminology and law enforcement;egypt arab republic of egypt;0028-0054;NA
naturalist;conservation;south africa;1013-6444;NA
nature technology;sciences: comprehensive works technology: comprehensive works;algeria;1112-9778;2437-0312
nawa;linguistics;namibia;1993-3835;NA
neotestamentica;religions and theology;south africa;0254-8356;NA
net journal of agricultural science;agriculture;nigeria;2315-9766;NA
net journal of business management;business and economics - management;nigeria;2437-1335;NA
new contrast;literature;south africa;1017-5415;NA
new contree;history - history of africa;south africa;null;NA
new egyptian journal of medicine;medical sciences;egypt arab republic of egypt;1110-1946;NA
new egyptian journal of microbiology;biology - microbiology;egypt arab republic of egypt;1687-1219;NA
new voices in psychology;psychology;south africa;1812-6731;NA
news for the human sciences bulletin;humanities: comprehensive works social sciences: comprehensive works;south africa;null;NA
nials journal of business law;law - corporate law;nigeria;2408-4921;NA
nidan;religions and theology - hindu;south africa;1016-5320;2414-8636
niger delta biologia;biology;nigeria;1118-8731;NA
niger delta journal of religious studies;religions and theology;nigeria;2449-044X;NA
nigeria bulletin on foreign affairs;political science - international relations;nigeria;0331-2151;NA
nigeria educational forum journal;education;nigeria;0189-2916;NA
nigeria english studies association journal;education - teaching methods and curriculum linguistics;nigeria;0029-0009;NA
nigeria national animal production research institute journal;agriculture - poultry and livestock veterinary science;nigeria;0189-0514;NA
nigeria society of physiotherapy journal;medical sciences - physical medicine and rehabilitation;nigeria;0331-3735;NA
nigeria veterinary journal;veterinary science;nigeria;0331-3026;NA
nigeria work in progress;literary and political reviews;nigeria;null;NA
nigerian agricultural journal;agriculture;nigeria;0300-368X;NA
nigerian agricultural policy research journal;agriculture;nigeria;2536-6084;2545-5745
nigerian christian;religions and theology;nigeria;0029-005X;NA
nigerian current law review;law;nigeria;0189-207X;NA
nigerian food journal;food and food industries;nigeria;null;0189-7241
nigerian forum;political science - international relations business and economics - international development and assistance;nigeria;0189-0816;NA
nigerian geographical journal;geography;nigeria;0029-0084;NA
nigerian infection control association journal;health facilities and administration medical sciences - communicable diseases;nigeria;1119-1716;NA
nigerian inquiry in the humanities;humanities: comprehensive works;nigeria;2489-0464;NA
nigerian institute of international affairs digest of selected articles on international questions;political science - international relations;nigeria;0078-0723;NA
nigerian institute of social and economic research research for development;social sciences: comprehensive works;nigeria;0189-0085;NA
nigerian journal of animal production;agriculture - poultry and livestock;nigeria;0331-2062;NA
nigerian journal of applied behavioural sciences;psychology;nigeria;2408-5413;NA
nigerian journal of basic and applied sciences;sciences: comprehensive works;nigeria;0794-5698;NA
nigerian journal of biotechnology;biology - biotechnology;nigeria;0189-1731;NA
nigerian journal of business and entrepreneurship education;business and economics - management business and economics - small business;nigeria;2536-6378;NA
